Index,Tahun,Comments,preprocessed,tokenize_text,label,score
0,2020,sisca gaada niatan buat kandang ayam modern gitu? nanti kontak2 ke aku biar aku bantu kenalin dan jelasin,sisca niat kandang ayam modern kontakkontak biar bantu kenal jelasin,"['sisca', 'niat', 'kandang', 'ayam', 'modern', 'kontakkontak', 'biar', 'bantu', 'kenal', 'jelasin']",positif,3
1,2020,  emangnya kamu (?) masak rendang aja 3 hari 3 malem... awowkwkwkw,memang masak rendang malam awowkwkwkw,"['memang', 'masak', 'rendang', 'malam', 'awowkwkwkw']",positif,1
2,2020,Sisca kalo cebok dicebokin mesin apa sendiri?,sisca kalo cebok dicebokin mesin,"['sisca', 'kalo', 'cebok', 'dicebokin', 'mesin']",netral,0
3,2020,Pamer2 begitu bapak dan emak kamu gak risih ya,pamer emak risih ya,"['pamer', 'emak', 'risih', 'ya']",negatif,-3
4,2020,  dia bocil beb.. bocil komen  wkwkw,bocil beb bocil komen wkwkw,"['bocil', 'beb', 'bocil', 'komen', 'wkwkw']",netral,0
5,2020,"  yg gak pahaam sittu, gak tau medium well sm medium rare ya??? asal wae ngmong ga bisa masak.. sittu yg ga paham.. taunya gosong?? apa gimana??",pahaam sittu tau medium wel medium rare ya wae ngmong masak sittu paham tau gosong,"['pahaam', 'sittu', 'tau', 'medium', 'wel', 'medium', 'rare', 'ya', 'wae', 'ngmong', 'masak', 'sittu', 'paham', 'tau', 'gosong']",positif,4
6,2020,  bitter ???,bitter,['bitter'],netral,0
7,2020,Dan orng jaman sekarang atau makanan tradusional orang dulu,orang jaman makan tradusional orang,"['orang', 'jaman', 'makan', 'tradusional', 'orang']",negatif,-2
8,2020,Makaknann teradisional dong biar ingit jaman dulu,makaknan adisional biar ingit jaman,"['makaknan', 'adisional', 'biar', 'ingit', 'jaman']",negatif,-2
9,2020,Btw judul lagunya apa ya ini ?,btw judul lagu ya,"['btw', 'judul', 'lagu', 'ya']",positif,4
10,2020,Wow? mahal sekali abri badi,wow mahal abri badi,"['wow', 'mahal', 'abri', 'badi']",positif,1
11,2020,diace hardware ni mesin 10 jt,diace hardware nih mesin juta,"['diace', 'hardware', 'nih', 'mesin', 'juta']",positif,2
12,2020,baiuh 55 jt,baiuh juta,"['baiuh', 'juta']",positif,2
13,2020,"  dgn maskawin alat gril di bayar cicil,",maskawin alat gril bayar cicil,"['maskawin', 'alat', 'gril', 'bayar', 'cicil']",negatif,-2
14,2020,"  hhhhhha ?gatau dia medium rare,rare medium, taunya gosong",hha tau medium rare rare medium tau gosong,"['hha', 'tau', 'medium', 'rare', 'rare', 'medium', 'tau', 'gosong']",positif,4
