index,Tahun,Comments,preprocessed,tokenize_text,label,score
1,2020,"Ngga minta macem macem cuma mau didoain biar bisa jadi kaya abang , AAAMIIINN",didoain biar kayak abang amin,"['didoain', 'biar', 'kayak', 'abang', 'amin']",negatif,-3
2,2020,BANG WILL..PENGEN HP AIPON NYA DONG BUAT BELAJAR JADI CONTEN CREATOR ????,bang wil pengin hp aipon nya ajar conten creator lipat tangan wajah senyum dengan air mata,"['bang', 'wil', 'pengin', 'hp', 'aipon', 'nya', 'ajar', 'conten', 'creator', 'lipat', 'tangan', 'wajah', 'senyum', 'dengan', 'air', 'mata']",negatif,-3
3,2020,   aku udah suscaraibe follow tiktok tapi belum di ajak borong,suscaraibe follow tiktok ajak borong,"['suscaraibe', 'follow', 'tiktok', 'ajak', 'borong']",positif,2
4,2020,Mantap lah,mantap,['mantap'],positif,5
5,2020,Ka beliin aku iPhone dong buat belajar bentar lagi ujian ????????,kak belikan iphone ajar bentar uji wajah memelas wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia,"['kak', 'belikan', 'iphone', 'ajar', 'bentar', 'uji', 'wajah', 'memelas', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia']",positif,7
6,2020,"Semoga Tuhan memberkati
Melimpahimu dengan kasih dan anugerah-Nya
Perbuatan baik yang kau lakukan
Sungguhlah membuat orang lain turut berbahagia
Benarkah kata orang tua
Rantai kebaikan akan selalu terulang
Jika kau berbuat baik
Kau juga akan mendapat limpahan hal yang baik",moga tuhan kati limpah kasih anugerah buat kau laku sungguh orang bahagia orang tua rantai baik ulang kau buat kau limpah,"['moga', 'tuhan', 'kati', 'limpah', 'kasih', 'anugerah', 'buat', 'kau', 'laku', 'sungguh', 'orang', 'bahagia', 'orang', 'tua', 'rantai', 'baik', 'ulang', 'kau', 'buat', 'kau', 'limpah']",positif,12
7,2020,"sudah banyak kita membaca
tapi semua terasa sirna
sudah banyak kita mengerti
tapi sedikit yang kita pahami
kemilauan harta melimpah ruah
justru hati kian gelisah
hanya orang suka sedekah
hidup jadi makin barokah
harta hanyalah titipan pada saatnya pasti dikembalikan
mengapa tidak dikeluarkan
agar hidup terselamatkan
sudah saatnya kita peduli dengan orang disekitar
Banyak orang disekitar kita yang memerlukan bantuan kita.kalau bukan kita siapa lagi?maka mulailah bergerak untuk mendatangi panti-panti asuhan yang terdekat dirumah kita dan sedikit demi sedikit kita sisihkan harta kita untuk membantu mereka.",baca sirna erti paham kemilauan harta limpah ruah hati kian gelisah orang suka sedekah hidup barokah harta titip kembali keluar hidup selamat peduli orang sekitar orang sekitar bantu kitakalau gerak pantipanti asuh dekat rumah sisih harta bantu,"['baca', 'sirna', 'erti', 'paham', 'kemilauan', 'harta', 'limpah', 'ruah', 'hati', 'kian', 'gelisah', 'orang', 'suka', 'sedekah', 'hidup', 'barokah', 'harta', 'titip', 'kembali', 'keluar', 'hidup', 'selamat', 'peduli', 'orang', 'sekitar', 'orang', 'sekitar', 'bantu', 'kitakalau', 'gerak', 'pantipanti', 'asuh', 'dekat', 'rumah', 'sisih', 'harta', 'bantu']",negatif,-9
8,2020,???????????????????????????hati anda seperti malaikat  ,hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati malaikat,"['hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'hati', 'malaikat']",positif,9
9,2020,bang wil ajakin maen mesin capit dongg  ,bang wil ajak main mesin capit,"['bang', 'wil', 'ajak', 'main', 'mesin', 'capit']",negatif,-2
10,2020,"  semangat ya kak ??,aku selalu mendukung mu kak",semangat ya kak wajah senyum dengan hati dukung mu kak,"['semangat', 'ya', 'kak', 'wajah', 'senyum', 'dengan', 'hati', 'dukung', 'mu', 'kak']",positif,8
11,2020,  ko Willy baca DM please ada yang menarik .,willy baca dm please tarik,"['willy', 'baca', 'dm', 'please', 'tarik']",positif,1
12,2020,  ko Willy baca DM please,willy baca dm please,"['willy', 'baca', 'dm', 'please']",negatif,-1
13,2020,"Will.. ganti kostum dong, pkek kostum anak sekolahan pasti seru",wil ganti kostum pakai kostum anak sekolah seru,"['wil', 'ganti', 'kostum', 'pakai', 'kostum', 'anak', 'sekolah', 'seru']",positif,3
14,2020,Mak willy saya minta tlg sebesar besarnya saya sudah span coment d TikTok dan sudah dm ga ada respond dr Kaka ???? saya minta sumbangan sedikit buat tambahan biaya rumah sakit ayah saya yg hari ini akan cuci darah seikhlasnya saja kk,mak willy tolong besar span komentar tiktok dm respond kakak lipat tangan wajah menang keras sumbang tambah biaya rumah sakit ayah cuci darah ikhlas,"['mak', 'willy', 'tolong', 'besar', 'span', 'komentar', 'tiktok', 'dm', 'respond', 'kakak', 'lipat', 'tangan', 'wajah', 'menang', 'keras', 'sumbang', 'tambah', 'biaya', 'rumah', 'sakit', 'ayah', 'cuci', 'darah', 'ikhlas']",positif,1
15,2020,Cek DM kak (urgent) ????,cek dm kak urgent lipat tangan warna kulit cerah,"['cek', 'dm', 'kak', 'urgent', 'lipat', 'tangan', 'warna', 'kulit', 'cerah']",negatif,-3
16,2020,Baca dm ku dong bang:),baca dm ku bang,"['baca', 'dm', 'ku', 'bang']",positif,2
17,2020,Panjang umur bahagia selalu,umur bahagia,"['umur', 'bahagia']",positif,5
18,2020,Koko   foto bersama teman2 sejatinya yah ?? Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA ????,koko foto temanteman sejati ya wajah senyum dengan mata bahagia bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan,"['koko', 'foto', 'temanteman', 'sejati', 'ya', 'wajah', 'senyum', 'dengan', 'mata', 'bahagia', 'bismillah', 'ya', 'allah', 'mudahmudahan', 'thr', 'koko', 'willie', 'amin', 'yra', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'lipat', 'tangan']",positif,23
19,2020,Moga ka Willie dm,moga kak willie dm,"['moga', 'kak', 'willie', 'dm']",positif,1
20,2020,Hallo kak willy maaf spam terus ni akuu ???,halo kak willy maaf spam nih hati merah,"['halo', 'kak', 'willy', 'maaf', 'spam', 'nih', 'hati', 'merah']",negatif,-2
21,2020,Pgen hp kaa.. Udh difollow smua,pengin hp kak difollow,"['pengin', 'hp', 'kak', 'difollow']",netral,0
22,2020,Huhu ganteng poll,huhu ganteng pol,"['huhu', 'ganteng', 'pol']",negatif,-3
23,2020,KO WILIHH... CEK DM KU?????? MOGA DI NOTICE....,wilih cek dm ku wajah menang wajah menang wajah menang moga notice,"['wilih', 'cek', 'dm', 'ku', 'wajah', 'menang', 'wajah', 'menang', 'wajah', 'menang', 'moga', 'notice']",negatif,-6
24,2020,"  moga mau berbagi sama aku, buat beli baju lebaran anak kak?? makin sukses, sehat selalu",moga bagi beli baju lebaran anak kak wajah senyum lebar mata hati sukses sehat,"['moga', 'bagi', 'beli', 'baju', 'lebaran', 'anak', 'kak', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'sukses', 'sehat']",positif,5
25,2020,         kk buka dm dong kak,buka dm kak,"['buka', 'dm', 'kak']",netral,0
26,2020,Bang tolong nap banng adek ku sakit bapak aku baru aja meninggal jawab dong bang,bang tolong nap banng adek ku sakit tinggal bang,"['bang', 'tolong', 'nap', 'banng', 'adek', 'ku', 'sakit', 'tinggal', 'bang']",negatif,-9
27,2020,dm gaperna di buka huaa:(,dm gaperna buka hua,"['dm', 'gaperna', 'buka', 'hua']",netral,0
28,2020,Assalamualaikum kak semoga dm aku kk baca yh aminnnn,assalamualaikum kak moga dm baca ya amin,"['assalamualaikum', 'kak', 'moga', 'dm', 'baca', 'ya', 'amin']",positif,6
29,2020,Semoga dpet ya allah??,moga dpet ya allah wajah menang,"['moga', 'dpet', 'ya', 'allah', 'wajah', 'menang']",positif,5
30,2020,Semoga Dapet .. AMIN ??????,moga amin lipat tangan wajah menang keras wajah malaikat,"['moga', 'amin', 'lipat', 'tangan', 'wajah', 'menang', 'keras', 'wajah', 'malaikat']",positif,1
31,2020,GOPAYY NYA KAKKK??,gopay nya kak wajah senyum lebar mata hati,"['gopay', 'nya', 'kak', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",negatif,-1
32,2020,semoga cepet cepet centang biruu yaaa,moga cepat cepat centang biru ya,"['moga', 'cepat', 'cepat', 'centang', 'biru', 'ya']",negatif,-4
33,2020,Gemezz semoga thr online,gemas moga thr online,"['gemas', 'moga', 'thr', 'online']",netral,0
34,2020,Good kerennbnagett,good kerennbnaget,"['good', 'kerennbnaget']",positif,5
35,2020,Ga butuh uang mending sopein ke rumah helm baru,butuh uang mending sopein rumah helm,"['butuh', 'uang', 'mending', 'sopein', 'rumah', 'helm']",negatif,-6
36,2020,Kak    bales DM ku kak:),kak balas dm ku kak,"['kak', 'balas', 'dm', 'ku', 'kak']",negatif,-2
37,2020,3 serangkai??,rangka tepuk tangan,"['rangka', 'tepuk', 'tangan']",positif,1
38,2020,Kak postingan udah aku like sampe bawah bismillah iPhone 12 pro max,kak postingan like bismillah iphone pro max,"['kak', 'postingan', 'like', 'bismillah', 'iphone', 'pro', 'max']",positif,4
