index,Tahun,Comments,preprocessed,tokenize_text,label,score
1,2023,     merep erpan,merep erpan,"['merep', 'erpan']",netral,0
2,2023,   bang isi dana gw boleh ga bangğ??­ lagi butuh bang mau jajanğ??¢,bang isi dana gue bang wajah menang keras butuh bang jajan wajah menang,"['bang', 'isi', 'dana', 'gue', 'bang', 'wajah', 'menang', 'keras', 'butuh', 'bang', 'jajan', 'wajah', 'menang']",netral,
3,2023,"   biar gw gx makan beton, kasih lah ge ipone ğ???ğ???ğ???",biar gue makan beton kasih ge ipone angkat tangan wajah gembira urai air mata wajah gembira urai air mata,"['biar', 'gue', 'makan', 'beton', 'kasih', 'ge', 'ipone', 'angkat', 'tangan', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",netral,1
4,2023,   bisa buat seluncuran. Yg jls apapun itu tetap wow,seluncur jls apa wow,"['seluncur', 'jls', 'apa', 'wow']",positif,-3
5,2023,"gimana kak ,kami yg dri merauke GK prna dapat hadia dri kakağ??¢",kak merauke prna hadia kakak wajah menang,"['kak', 'merauke', 'prna', 'hadia', 'kakak', 'wajah', 'menang']",netral,-1
6,2023,maneh kocakğ??®,maneh kocak wajah dengan mulut buka,"['maneh', 'kocak', 'wajah', 'dengan', 'mulut', 'buka']",negatif,-6
7,2023,mau dong hp iphone sm uang buat kirim anak ke pondok pesantren,hp iphone uang kirim anak pondok pesantren,"['hp', 'iphone', 'uang', 'kirim', 'anak', 'pondok', 'pesantren']",netral,2
8,2023,naik angkot ambil nunggu berenti ....liat Vidio nya ikut pusing bg hahhağ???ğ???,angkot ambil tunggu renti lihat vidio nya pusing bang hahha wajah gembira urai air mata wajah gembira urai air mata,"['angkot', 'ambil', 'tunggu', 'renti', 'lihat', 'vidio', 'nya', 'pusing', 'bang', 'hahha', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-13
9,2023,"pengen post bareng kk, padahal 1 minggu lalu ketemu tpi lagi sibuk kayanya",pengin post bareng minggu ketemu sibuk kaya,"['pengin', 'post', 'bareng', 'minggu', 'ketemu', 'sibuk', 'kaya']",positif,-2
10,2023,...masya allah glowing amat,masya allah glowing,"['masya', 'allah', 'glowing']",positif,5
11,2023,abangku mantep,abang mantap,"['abang', 'mantap']",positif,5
12,2023,"ada ada ajaa alah,,, pusing Gusti",alah pusing gusti,"['alah', 'pusing', 'gusti']",negatif,-4
13,2023,ajg metal ga tuh,ajg metal tuh,"['ajg', 'metal', 'tuh']",netral,0
