Index,Tahun,Comments,preprocessed,tokenize_text,label,score
1,2020,"""akhirnya aku borong""?",borong,['borong'],positif,1
2,2022,"""apapun makanan nya tetap bersyukur"" God bless u no limit family's",apa makan nya syukur god bles lu no limit familysi,"['apa', 'makan', 'nya', 'syukur', 'god', 'bles', 'lu', 'no', 'limit', 'familysi']",positif,2
3,2022,"""apapun makanannya harus tetap bersyukur""",apa makan syukur,"['apa', 'makan', 'syukur']",positif,2
4,2022,"""Apapun makanannya harus tetap bersyukur""  masyaaAllah kak Sisca??",apa makan syukur masyaallah kak sisca tanda seru bentuk hati,"['apa', 'makan', 'syukur', 'masyaallah', 'kak', 'sisca', 'tanda', 'seru', 'bentuk', 'hati']",positif,
5,2022,"""Apapun makanannya harus tetap bersyukur""  masyaaAllah kak Sisca?o?",apa makan syukur masyaallah kak sisca tanda seru bentuk hati,"['apa', 'makan', 'syukur', 'masyaallah', 'kak', 'sisca', 'tanda', 'seru', 'bentuk', 'hati']",positif,4
6,2021,"""kita gak sabar untuk nyobain""",sabar coba,"['sabar', 'coba']",positif,6
7,2020,"""masak dikamar cek!"" Tapi bahan bahannya bawa dimana kak? ?",masak kamar cek bahan bahan bawa mana kak,"['masak', 'kamar', 'cek', 'bahan', 'bahan', 'bawa', 'mana', 'kak']",negatif,-12
8,2020,"""Mie teraneh yg pernah aku makan"" ?",mie aneh makan,"['mie', 'aneh', 'makan']",negatif,0
9,2022,"""Selamat mencoba"".....",selamat coba,"['selamat', 'coba']",positif,6
10,2023,"#salamMKC @siscakohl kak , pingin menang IPAd",kak pengin menang ipad,"['kak', 'pengin', 'menang', 'ipad']",netral,-1
11,2022,", Nato itu apa rasanya? Sorry saya dari Malaysia, soalnya tak tahu apa tu Nato..",nato sorry malaysia nato,"['nato', 'sorry', 'malaysia', 'nato']",netral,-4
12,2023,",dri Thun 2020 ngefollow KK,tpi ngga prna dapat,bismillah rezeki?????",ngefollow prna bismillah rezeki tangan angkat dan rapat sama hati merah,"['ngefollow', 'prna', 'bismillah', 'rezeki', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'hati', 'merah']",netral,13
13,2023,............??...??..........??............??...................aku mau ipad,ipad,['ipad'],netral,0
14,2024,.sophiaaaaaaaaaa comelnyaaaa dia ??,sophia comel wajah senyum lebar mata hati,"['sophia', 'comel', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",positif,2
15,2020,"? mantap2 kapan2 deh aq beli buat masak di rumah,smentara pake kompor miyako dulu gas melon 3kg",mantap kapankapan deh beli masak rumah pakai kompor miyako gas melon kg,"['mantap', 'kapankapan', 'deh', 'beli', 'masak', 'rumah', 'pakai', 'kompor', 'miyako', 'gas', 'melon', 'kg']",positif,-4
16,2024,?? lucu,wajah senyum lebar mata hati lucu,"['wajah', 'senyum', 'lebar', 'mata', 'hati', 'lucu']",positif,0
18,2021,"????,,aku malah bingung bang itu beraknya bisa di daur ulang kagak ya????",aku bingung bang berak daur ulang kagak ya,"['wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'aku', 'bingung', 'bang', 'berak', 'daur', 'ulang', 'kagak', 'ya', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-10
19,2024,?????? kak jess versi sachet,wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati kak jes versi sachet,"['wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'kak', 'jes', 'versi', 'sachet']",positif,-3
20,2023,?????? sehat selalu shopiaaaa????,hati merah hati merah hati merah sehat shopia hati merah hati merah,"['hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'sehat', 'shopia', 'hati', 'merah', 'hati', 'merah']",positif,
21,2024,?????? Sehat2 Selalu dd Cantik,hati merah hati merah sehatsehat cantik,"['hati', 'merah', 'hati', 'merah', 'sehatsehat', 'cantik']",positif,0
22,2023,?????? tgl lahirnya sama kaya anak keduaku 8 sep dan bb nya juga 2730 gr ???,wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati tanggal lahir kayak anak dua sep b nya gr hati merah,"['wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'tanggal', 'lahir', 'kayak', 'anak', 'dua', 'sep', 'b', 'nya', 'gr', 'hati', 'merah']",positif,-8
23,2023,????????? sehat selalu shopiaaaa??????,hati merah hati merah hati merah sehat shopia hati merah hati merah,"['hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'sehat', 'shopia', 'hati', 'merah', 'hati', 'merah']",positif,8
24,2021,?????????? ngeriii lah...dicampur2,wajah menang wajah muntah wajah muntah wajah muntah wajah muntah ngeri campur,"['wajah', 'menang', 'wajah', 'muntah', 'wajah', 'muntah', 'wajah', 'muntah', 'wajah', 'muntah', 'ngeri', 'campur']",negatif,-12
25,2021,???????????? saya suka sekali????,tepuk tangan tepuk tangan tepuk tangan tepuk tangan tepuk tangan tepuk tangan suka tepuk tangan tepuk tangan,"['tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'suka', 'tepuk', 'tangan', 'tepuk', 'tangan']",positif,10
26,2023,"??????????????? lucu,, kayak kecium wangi bayi sampe sini????",hati merah hati merah hati merah wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati lucu kayak cium wangi bayi wajah senyum lebar mata hati wajah gembira urai air mata,"['hati', 'merah', 'hati', 'merah', 'hati', 'merah', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'lucu', 'kayak', 'cium', 'wangi', 'bayi', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,-3
27,2022,????????serasi ka kompak pula,tepuk tangan tepuk tangan tepuk tangan tepuk tangan serasi kak kompak,"['tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'serasi', 'kak', 'kompak']",positif,4
28,2023,??????bismillah smoga d jmpt KK bsa ke Jakarta krna mw main tangkap uang si gems KK ini. ??,tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama bismillah moga jmpt jakarta main tangkap uang sih gems wajah agak senyum,"['tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'tangan', 'angkat', 'dan', 'rapat', 'sama', 'bismillah', 'moga', 'jmpt', 'jakarta', 'main', 'tangkap', 'uang', 'sih', 'gems', 'wajah', 'agak', 'senyum']",netral,18
29,2022,??????gw makin ngakak liat konten mereka yg bedua drtd gw liat2 gda yg bener wkwk kocak smua y Allah tolongggg ????,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata gue akak lihat konten dua drtd gue lihatlihat wkwk kocak ya allah tolong wajah menang keras tertawa terbahakbahak,"['wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'gue', 'akak', 'lihat', 'konten', 'dua', 'drtd', 'gue', 'lihatlihat', 'wkwk', 'kocak', 'ya', 'allah', 'tolong', 'wajah', 'menang', 'keras', 'tertawa', 'terbahakbahak']",positif,3
30,2022,??????semoga langgeng,hati merah hati merah moga langgeng,"['hati', 'merah', 'hati', 'merah', 'moga', 'langgeng']",positif,7
31,2024,????durasii nya kurang lamaaa,wajah menang wajah menang durasi nya,"['wajah', 'menang', 'wajah', 'menang', 'durasi', 'nya']",negatif,-2
32,2023,????semoga di ajak main,wajah senyum lebar mata hati wajah senyum lebar mata hati moga ajak main,"['wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'moga', 'ajak', 'main']",netral,0
33,2022,????semoga langgeng,hati merah hati merah moga langgeng,"['hati', 'merah', 'hati', 'merah', 'moga', 'langgeng']",positif,
34,2022,????tak enak,mual wajah muntah enak,"['mual', 'wajah', 'muntah', 'enak']",negatif,-7
35,2021,??aku suka banget ??rs bahan bahan ny mudah sekali di dapat ?? love you kak,wajah dengan mulut buka suka banget terus bahan bahan nya mudah wajah senyum lebar mata hati love you kak,"['wajah', 'dengan', 'mulut', 'buka', 'suka', 'banget', 'terus', 'bahan', 'bahan', 'nya', 'mudah', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'love', 'you', 'kak']",positif,-1
36,2023,"??asik lahir di perut siscakhol, uang gw no limit",bayi asik lahir perut siscakhol uang gue no limit,"['bayi', 'asik', 'lahir', 'perut', 'siscakhol', 'uang', 'gue', 'no', 'limit']",positif,7
37,2022,??drama apalagi ini ya tuhan,wajah menang drama ya tuhan,"['wajah', 'menang', 'drama', 'ya', 'tuhan']",negatif,-2
38,2022,??elamat mencobaaa?? lah gue udah nyoba dari jaman SD anjir??,selamat coba gue coba jaman sd anjir bersin,"['selamat', 'coba', 'gue', 'coba', 'jaman', 'sd', 'anjir', 'bersin']",negatif,3
39,2024,??semogga kecipratan rezekiny lgi hmil muda ini,wajah senyum lebar mata hati semogga ciprat rezekiny hmil muda,"['wajah', 'senyum', 'lebar', 'mata', 'hati', 'semogga', 'ciprat', 'rezekiny', 'hmil', 'muda']",positif,-3
40,2020,"@_anas.hidayah8_ yaa klo gitu gk usah di liatin lah muka nya , gitu aja RIBET bgt",hidayah ya kalo lihat muka nya ribet banget,"['hidayah', 'ya', 'kalo', 'lihat', 'muka', 'nya', 'ribet', 'banget']",negatif,-1
41,2024,@_changeyourusernamee menghindari peodfil bg,hindar peodfil bang,"['hindar', 'peodfil', 'bang']",netral,0
42,2024,@_changeyourusernamee ngeri sm pedofil,ngeri pedofil,"['ngeri', 'pedofil']",negatif,-9
43,2021,@_kikolin16_ ada di YouTube gan,youtube gan,"['youtube', 'gan']",netral,0
44,2021,@aditydws makan daging mentah kan ngga masalah,makan daging mentah,"['makan', 'daging', 'mentah']",netral,0
45,2020,@aesthetic90slove heh ngawur  tapi ngakak ??,heh ngawur akak,"['heh', 'ngawur', 'akak']",netral,0
46,2020,@aesthetiqgurll iya jijik gua liat mukanya,iya jijik gua lihat muka,"['iya', 'jijik', 'gua', 'lihat', 'muka']",negatif,-2
47,2023,@akbarrmdhn1140 kerja. Jngn punya mental ngemis,kerja mental ngemis,"['kerja', 'mental', 'ngemis']",netral,0
48,2023,@akbarrmdhn1140 ngemis,ngemis,['ngemis'],netral,0
49,2023,@akbarrmdhn1140 ngemiss?,ngemis,['ngemis'],netral,0
50,2021,@asriratna__ sungguh meresahkan ??,sungguh resah mual,"['sungguh', 'resah', 'mual']",negatif,-7
51,2020,@astried_oktaviani bikin inii hayu,bikin hayu,"['bikin', 'hayu']",netral,0
52,2022,@astrihusein98 Muanntabb,muanntab,['muanntab'],netral,0
53,2022,@axzgil12 bucinn,bucin,['bucin'],netral,0
54,2020,@aykhrnsa sampe sini maksutnyaa,maksutnya,['maksutnya'],netral,0
55,2021,@ayurayu_ wakakaka,wakakaka,['wakakaka'],netral,0
56,2022,@bacotnetizenplus62 wkwkwkwk,wkwkwkwk,['wkwkwkwk'],netral,0
57,2023,@bagussetiaji1 saha,saha,['saha'],netral,0
58,2020,@baiq_hanaq hwarang,hwarang,['hwarang'],netral,0
59,2020,@belskuyy sama gw juga,gue,['gue'],netral,0
60,2024,@beq04 sini main2 ke rumah gue di bdg biar gue masakin dehh??,mainmain rumah gue bdg biar gue masakin deh wajah julur lidah,"['mainmain', 'rumah', 'gue', 'bdg', 'biar', 'gue', 'masakin', 'deh', 'wajah', 'julur', 'lidah']",netral,0
61,2022,"@bgs27_ di shopee tokped ada kok,ketik aja spring roll",shope tokped ketik spring rol,"['shope', 'tokped', 'ketik', 'spring', 'rol']",netral,0
62,2021,@biancasharonn_ nggk enak asw??,enak asw wajah menang,"['enak', 'asw', 'wajah', 'menang']",negatif,0
63,2020,"@bintarikarina yg gak pahaam sittu, gak tau medium well sm medium rare ya??? asal wae ngmong ga bisa masak.. sittu yg ga paham.. taunya gosong?? apa gimana??",pahaam sittu tau medium wel medium rare ya wae ngmong masak sittu paham tau gosong,"['pahaam', 'sittu', 'tau', 'medium', 'wel', 'medium', 'rare', 'ya', 'wae', 'ngmong', 'masak', 'sittu', 'paham', 'tau', 'gosong']",netral,4
64,2021,@birulhayati890 amin,amin,['amin'],netral,0
65,2022,@bobtan__ lha kan sinting si halu sampe sini...,sinting sih halu,"['sinting', 'sih', 'halu']",negatif,-5
