index,Tahun,Comments,preprocessed,tokenize_text,label,score
1,2020,         kk buka dm dong kak,buka dm kak,"['buka', 'dm', 'kak']",netral,0
2,2020,    koko Fulbert Homo ??,koko fulbert homo mual,"['koko', 'fulbert', 'homo', 'mual']",negatif,-5
3,2021,"  aku do'a in kakak masuk surga,, ?? ??????",a kakak masuk surga lipat tangan wajah menang keras wajah menang keras wajah senyum lebar dan keringat,"['a', 'kakak', 'masuk', 'surga', 'lipat', 'tangan', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'wajah', 'senyum', 'lebar', 'dan', 'keringat']",positif,
4,2024,  aku sebenarnya juga kecewa Ama Willie Salim aneh nya padahal aku dah follow semua ig yt Ama tiktok terus aku cet gak di tanggapi apa kerena aku ini cuma orang miskin jadi tidak di tanggapi sedangkan Willie Salim artis terkenal??????,kecewa willie salim aneh nya deh follow ig yt tiktok cet tanggap rena orang miskin tanggap willie salim artis kenal wajah menang keras wajah menang keras wajah menang keras,"['kecewa', 'willie', 'salim', 'aneh', 'nya', 'deh', 'follow', 'ig', 'yt', 'tiktok', 'cet', 'tanggap', 'rena', 'orang', 'miskin', 'tanggap', 'willie', 'salim', 'artis', 'kenal', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras']",negatif,9
5,2020,  Aku sudah like ujung sampai akarnya kak wili??????,like ujung akar kak wili wajah lega wajah lega wajah lega,"['like', 'ujung', 'akar', 'kak', 'wili', 'wajah', 'lega', 'wajah', 'lega', 'wajah', 'lega']",netral,-4
6,2020,  ngemis2 online dimulai,ngemis online,"['ngemis', 'online']",negatif,0
7,2021,"  kaum mendang mending,ngatur? pulaa??",kaum dang mending ngatur tidak bicara,"['kaum', 'dang', 'mending', 'ngatur', 'tidak', 'bicara']",negatif,-6
8,2020,Aduh GBL GBL Ganteng Bangett Lohh?????,aduh gbl gbl ganteng banget loh wajah senyum lebar mata hati hati merah,"['aduh', 'gbl', 'gbl', 'ganteng', 'banget', 'loh', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'hati', 'merah']",positif,
9,2020,Aduhhhh salfok akutyyyy??,aduh salah fokus akuty wajah senyum lebar mata hati,"['aduh', 'salah', 'fokus', 'akuty', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",positif,-6
10,2020,AKHIRNYA SELESAI LIKE SAMPE BAWAH HEHEH?? SEMOGA DAPET 1 PERMINTAAN AMINN,selesai like heheh wajah gembira urai air mata moga minta amin,"['selesai', 'like', 'heheh', 'wajah', 'gembira', 'urai', 'air', 'mata', 'moga', 'minta', 'amin']",netral,
11,2020,"Akhirnya,,,sampai di postingan pertama??",postingan api,"['postingan', 'api']",netral,
12,2020,Aku ka gak pernah terpilih????,kak pilih wajah gembira urai air mata wajah gembira urai air mata,"['kak', 'pilih', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-4
13,2020,Aku mau hoodiee buat lebaran aku tinggal sama nenek,hoodie lebaran tinggal nenek,"['hoodie', 'lebaran', 'tinggal', 'nenek']",netral,
14,2020,Aku mau kak hoodie nya,kak hoodie nya,"['kak', 'hoodie', 'nya']",netral,0
15,2020,Aku pengen juga kyk org lain dpt iPhone dari kk,pengin kayak orang iphone,"['pengin', 'kayak', 'orang', 'iphone']",netral,-3
16,2020,Aku udah follow akun Instagram KA willi,follow akun instagram kak willi,"['follow', 'akun', 'instagram', 'kak', 'willi']",netral,0
17,2020,Amin handphon,amin handphon,"['amin', 'handphon']",netral,0
18,2020,"  Ka willie dermawan sekali emgnya kerjanya apa ka,tipsnya dong??????,bisa kali ka kasih aku kado ulang thun,aku gapernah ad yg kasih kado selama hidup????",kak willie dermawan emgnya kerja kak tipsnya tepuk tangan tepuk tangan tepuk tangan kali kak kasih kado ulang kasih kado hidup wajah menang wajah menang,"['kak', 'willie', 'dermawan', 'emgnya', 'kerja', 'kak', 'tipsnya', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'kali', 'kak', 'kasih', 'kado', 'ulang', 'kasih', 'kado', 'hidup', 'wajah', 'menang', 'wajah', 'menang']",positif,5
19,2020,"  Ka willie dermawan sekali emgnya kerjanya apa ka,tipsnya dong??????,bisa kali ka kasih aku kado ulang thun,aku gapernah ad yg kasih kado selama hidup????",kak willie dermawan emgnya kerja kak tipsnya tepuk tangan tepuk tangan tepuk tangan kali kak kasih kado ulang kasih kado hidup wajah menang wajah menang,"['kak', 'willie', 'dermawan', 'emgnya', 'kerja', 'kak', 'tipsnya', 'tepuk', 'tangan', 'tepuk', 'tangan', 'tepuk', 'tangan', 'kali', 'kak', 'kasih', 'kado', 'ulang', 'kasih', 'kado', 'hidup', 'wajah', 'menang', 'wajah', 'menang']",positif,
20,2020,Assalamu"alaikum kokoh willie nama aku ricky hidayat dari bekasi kec tambun selatan. kokoh willie beliin aku motor dong vespa spirint iget 150. aku pengen banget punya motor biar gak kemana-mana jalan. aku pengen banget punya motor buat aku pake kerja. kerja aku sebagai seniman jalanan cita-cita aku pengen banget punya motor biar lebih mudah. aku udah lama banget jalan kalo kemana-mana main tapi jalan itu sehat alhamdulillah kan kalo punya kendaraan biar gak ngabisin waktu.  sebelumnya aku punya motor mio cuma dipake sama kaka aku buat kerja dan uang hasil aku kerja sebagai seniman jalanan buat ibu dan bayar kontrakan serta listerik #semogadibacayaallah sama kokoh willie ammin :'( :'( wassalamu"alaikum,assalamu alaikum kokoh willie nama ricky hidayat bekas kec tambun selatan kokoh willie belikan motor vespa spirint iget pengin banget motor biar kemanamana jalan pengin banget motor pakai kerja kerja seniman jalan citacita pengin banget motor biar mudah banget jalan kalo kemanamana main jalan sehat alhamdulillah kalo kendara biar ngabisin motor mio pakai kakak kerja uang hasil kerja seniman jalan bayar kontra listerik kokoh willie amin wassalamu alaikum,"['assalamu', 'alaikum', 'kokoh', 'willie', 'nama', 'ricky', 'hidayat', 'bekas', 'kec', 'tambun', 'selatan', 'kokoh', 'willie', 'belikan', 'motor', 'vespa', 'spirint', 'iget', 'pengin', 'banget', 'motor', 'biar', 'kemanamana', 'jalan', 'pengin', 'banget', 'motor', 'pakai', 'kerja', 'kerja', 'seniman', 'jalan', 'citacita', 'pengin', 'banget', 'motor', 'biar', 'mudah', 'banget', 'jalan', 'kalo', 'kemanamana', 'main', 'jalan', 'sehat', 'alhamdulillah', 'kalo', 'kendara', 'biar', 'ngabisin', 'motor', 'mio', 'pakai', 'kakak', 'kerja', 'uang', 'hasil', 'kerja', 'seniman', 'jalan', 'bayar', 'kontra', 'listerik', 'kokoh', 'willie', 'amin', 'wassalamu', 'alaikum']",netral,13
21,2021,  kado nih?? selamat ya kak????,kado nih kado selamat ya kak kue ulang tahun kembang api,"['kado', 'nih', 'kado', 'selamat', 'ya', 'kak', 'kue', 'ulang', 'tahun', 'kembang', 'api']",positif,14
22,2022,  kak bantuin aku dong kak Buat tambahan uang Nikah tahun depan duitnya masih kurang.. ??,kak bantuin kak tambah uang nikah duit tepuk tangan,"['kak', 'bantuin', 'kak', 'tambah', 'uang', 'nikah', 'duit', 'tepuk', 'tangan']",netral,6
23,2020,"Assalamualaikum kak,,,,Follback donk.??????????",assalamualaikum kak follback dong wajah memelas tunjuk ke arah kanan warna kulit cerah tunjuk ke arah kiri warna kulit cerah,"['assalamualaikum', 'kak', 'follback', 'dong', 'wajah', 'memelas', 'tunjuk', 'ke', 'arah', 'kanan', 'warna', 'kulit', 'cerah', 'tunjuk', 'ke', 'arah', 'kiri', 'warna', 'kulit', 'cerah']",netral,-5
24,2021,  kak Willie aku pengen pop it,kak willie pengin pop,"['kak', 'willie', 'pengin', 'pop']",netral,5
25,2020,"  kak,semangat ya kak ?",kak semangat ya kak tangan kepal ke atas,"['kak', 'semangat', 'ya', 'kak', 'tangan', 'kepal', 'ke', 'atas']",positif,0
26,2021,  Kakak baik banget berbagi kepada orang???semoga rezekinya dilancarkan yah Kak?????,kakak banget bagi orang hati merah moga rezeki lancar ya kak wajah senyum lebar mata hati hati merah,"['kakak', 'banget', 'bagi', 'orang', 'hati', 'merah', 'moga', 'rezeki', 'lancar', 'ya', 'kak', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'hati', 'merah']",positif,
27,2020,Bacab dm sy kk,bacab dm,"['bacab', 'dm']",netral,0
28,2021,  Kakak baik banget berbagi kepada orang??semoga rezekinya dilancarkan yah Kak????,kakak banget bagi orang hati merah moga rezeki lancar ya kak wajah senyum lebar mata hati hati merah,"['kakak', 'banget', 'bagi', 'orang', 'hati', 'merah', 'moga', 'rezeki', 'lancar', 'ya', 'kak', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'hati', 'merah']",positif,5
29,2020,Bales DM aku ka plis ?? ,balas dm kak plis wajah menang,"['balas', 'dm', 'kak', 'plis', 'wajah', 'menang']",netral,-3
30,2020,bales dm dong ko??,balas dm wajah menang,"['balas', 'dm', 'wajah', 'menang']",netral,-3
31,2020,Bang    salamm darii jepara jawa tengah bismillah 1jt buat lebaran aminn yaallah terkabul??,bang salam jepara jawa bismillah jt lebaran amin yaallah kabul tangan angkat dan rapat sama,"['bang', 'salam', 'jepara', 'jawa', 'bismillah', 'jt', 'lebaran', 'amin', 'yaallah', 'kabul', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",netral,9
32,2020,"Bang   aku cuma mau ketemu bg    aku lagi ?? bang, dan aku cuma mau di promosikan produk aku bang TERASI BELITUNG ???????????? SEMOGA COMENT SAYA DI LIHAT  ",bang ketemu bang wanita hamil bang promosi produk bang terasi belitung lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan moga komentar lihat,"['bang', 'ketemu', 'bang', 'wanita', 'hamil', 'bang', 'promosi', 'produk', 'bang', 'terasi', 'belitung', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan', 'moga', 'komentar', 'lihat']",netral,9
33,2020,bang   pliiss buka dm sya????,bang pliis buka dm wajah menang keras lipat tangan,"['bang', 'pliis', 'buka', 'dm', 'wajah', 'menang', 'keras', 'lipat', 'tangan']",netral,0
34,2020,Bang bagi thr buat mudik dong,bang thr mudik,"['bang', 'thr', 'mudik']",netral,-3
35,2020,Bang buka dm ig : Kahfii.nurrr,bang buka dm ig kahfinur,"['bang', 'buka', 'dm', 'ig', 'kahfinur']",netral,0
36,2021,  KK aku sudah nonton film nya KK Willie y KK aku mau kk,tonton film nya willie ya,"['tonton', 'film', 'nya', 'willie', 'ya']",netral,-4
37,2020,Bang sy dpt Msgr klu diminta Data pribadi dari Abang ..apa betul Bang,bang msgr data pribadi abang bang,"['bang', 'msgr', 'data', 'pribadi', 'abang', 'bang']",netral,-3
38,2020,bang wil ajakin maen mesin capit dongg  ,bang wil ajak main mesin capit,"['bang', 'wil', 'ajak', 'main', 'mesin', 'capit']",netral,
39,2024,  kuncine nikmati kui bersyukur,kuncine nikmat kui syukur,"['kuncine', 'nikmat', 'kui', 'syukur']",positif,8
40,2020,Bang will baca Dm aku bang. Aku butuh bngt pertolongan abang ????????  ,bang wil baca dm bang butuh banget tolong abang wajah menang keras wajah menang keras lipat tangan warna kulit cerah,"['bang', 'wil', 'baca', 'dm', 'bang', 'butuh', 'banget', 'tolong', 'abang', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'lipat', 'tangan', 'warna', 'kulit', 'cerah']",netral,-6
41,2020,Bang wille org cina kh,bang wille orang cina kah,"['bang', 'wille', 'orang', 'cina', 'kah']",netral,0
42,2020,"Bang willie aku mau iphone dong,soalnya aku iri liat teman aku pada pake iphone????",bang willie iphone iri lihat teman pakai iphone wajah menang wajah menang keras,"['bang', 'willie', 'iphone', 'iri', 'lihat', 'teman', 'pakai', 'iphone', 'wajah', 'menang', 'wajah', 'menang', 'keras']",netral,-3
43,2021,  mantap SMG tuhan membalaskan kebaikan mu Kwan,mantap moga tuhan balas baik mu kwan,"['mantap', 'moga', 'tuhan', 'balas', 'baik', 'mu', 'kwan']",positif,9
44,2020,Bang Willy 2018  ,bang willy,"['bang', 'willy']",netral,0
45,2023,  Masya Allah sehat slalu ko willi,masya allah sehat willi,"['masya', 'allah', 'sehat', 'willi']",positif,8
46,2020,"  moga mau berbagi sama aku, buat beli baju lebaran anak kak?? makin sukses, sehat selalu",moga bagi beli baju lebaran anak kak wajah senyum lebar mata hati sukses sehat,"['moga', 'bagi', 'beli', 'baju', 'lebaran', 'anak', 'kak', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'sukses', 'sehat']",positif,5
47,2020,bau ketek,bau ketek,"['bau', 'ketek']",negatif,-4
48,2020,Beda bgt njirr,beda banget anjir,"['beda', 'banget', 'anjir']",negatif,-4
49,2020,beda bngt sm thun 2022??,beda banget wajah dengan mulut buka,"['beda', 'banget', 'wajah', 'dengan', 'mulut', 'buka']",negatif,-3
50,2020,  never give up kak ?,never give up kak tangan kepal ke atas,"['never', 'give', 'up', 'kak', 'tangan', 'kepal', 'ke', 'atas']",positif,-3
51,2020,Berharap di notice dong??,harap notice wajah memelas,"['harap', 'notice', 'wajah', 'memelas']",netral,0
52,2020,  saling toleran ??,toleran lipat tangan,"['toleran', 'lipat', 'tangan']",positif,
53,2024,  sayang banget yaaa pdhl bnyak produk knp hrs beli yg dukung sirewel,sayang banget ya produk beli dukung sirewel,"['sayang', 'banget', 'ya', 'produk', 'beli', 'dukung', 'sirewel']",negatif,6
54,2020,Bismilaahirrah hp aipood,bismilaahirrah hp aipood,"['bismilaahirrah', 'hp', 'aipood']",netral,0
55,2020,Bismilah biaya untuk mudik??,bismilah biaya mudik wajah senyum lebar mata hati,"['bismilah', 'biaya', 'mudik', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",netral,-4
56,2020,Bismilah boneka cimi,bismilah boneka cimi,"['bismilah', 'boneka', 'cimi']",netral,0
57,2020,Bismilah Dapat THR Dari Kakam????,bismilah thr kakam wajah menang hati merah,"['bismilah', 'thr', 'kakam', 'wajah', 'menang', 'hati', 'merah']",netral,0
58,2020,Bismilah di isiin daana 1jt:);));;;););,bismilah isiin daana jt,"['bismilah', 'isiin', 'daana', 'jt']",netral,0
59,2020,Bismilah Indomie satu kerdus Amin,bismilah indomie kerdus amin,"['bismilah', 'indomie', 'kerdus', 'amin']",netral,0
60,2020,"Bismilah Shopiepay ,",bismilah shopiepay,"['bismilah', 'shopiepay']",netral,0
61,2021,  selamat anda dapat ipyhoney 15??????,selamat ipyhoney kado kado kembang api,"['selamat', 'ipyhoney', 'kado', 'kado', 'kembang', 'api']",netral,14
62,2020,Bismillah   pengen punya iPhone semoga Allah SWT permudah dan meringankan kak willie salim Untuk memberikan nya kepada kami aamiin aamiin aamiin ya rabbal aalaamiin??,bismillah pengin iphone moga allah swt mudah ringan kak willie salim nya amin amin amin ya rabbal aalaamiin tangan angkat dan rapat sama,"['bismillah', 'pengin', 'iphone', 'moga', 'allah', 'swt', 'mudah', 'ringan', 'kak', 'willie', 'salim', 'nya', 'amin', 'amin', 'amin', 'ya', 'rabbal', 'aalaamiin', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",netral,23
63,2023,  semangat ka Wili salim semoga ada Riski ni buat biaya anak,semangat kak wili salim moga riski nih biaya anak,"['semangat', 'kak', 'wili', 'salim', 'moga', 'riski', 'nih', 'biaya', 'anak']",positif,8
64,2020,  semangat ya kak ??,semangat ya kak oke,"['semangat', 'ya', 'kak', 'oke']",positif,5
